Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2022-12-16,Dragonfly Automation Software is a provider of management and control system product solutions for customers.,Dragonfly Automation Software,https://www.crunchbase.com/organization/dragonfly-automation-software,"Industrial, Industrial Engineering, Industrial Manufacturing, Software","Changzhou, Zhejiang, China, Asia",Series A - Dragonfly Automation Software,https://www.crunchbase.com/funding_round/dragonfly-automation-software-series-a--5e2fa805,3,"JC Capital, Skytrace Capital, Weed Ventures",Early Stage Venture,"JC Capital, Skytrace Capital",Series A,1,90000000,CNY,12906371,,,,90000000,CNY,12906371,Yes,,http://www.dragonflydas.cn/index.html,,Early Stage Venture,2,"51,689",
2022-09-05,Zacye is an industrial internet platform.,Zacye,https://www.crunchbase.com/organization/zacye,"Big Data, Cloud Computing, Hardware, Internet of Things","Zhuhai, Guangdong, China, Asia",Seed Round - Zacye,https://www.crunchbase.com/funding_round/zacye-seed--7bcbd1ee,2,"High-Tech Venture Capital, Taiya Investment Group",Seed,Taiya Investment Group,Seed,1,,,,,,,,,,Yes,,https://www.zacye.com/,,Seed,,"52,138",
2022-11-29,Kangpai Medical is a research and development company of advanced breast cancer prevention and treatment products.,Kangpai Medical,https://www.crunchbase.com/organization/kangpai-medical,"Biotechnology, Medical, Pharmaceutical","Suzhou, Jiangsu, China, Asia",Series A - Kangpai Medical,https://www.crunchbase.com/funding_round/kangpai-medical-series-a--868d8b80,2,"Milestep Capital, Shanghai Boyong Asset Management",Early Stage Venture,,Series A,1,,,,,,,,,,Yes,,http://www.comp-ai.com/,,Early Stage Venture,,"52,197",
2022-11-25,Zhongke Yuntu is a high-tech enterprise engaged in comprehensive application services for drones.,Zhongke Yuntu,https://www.crunchbase.com/organization/zhongke-yuntu,"Drone Management, Drones","Yuexi, Anhui, China, Asia",Series B - Zhongke Yuntu,https://www.crunchbase.com/funding_round/zhongke-yuntu-series-b--c4cec028,3,"Tbea, Yuefu Fund, Zhongke Kechuang",Early Stage Venture,Tbea,Series B,1,,,,,,,,,,Yes,,http://www.imapcloud.cn/,,Early Stage Venture,,"52,475",
2022-12-20,Qingde Hydrogen Energy is a producer of hydrogen energy storage and utilization products and technical services.,Qingde Hydrogen Energy,https://www.crunchbase.com/organization/qingde-hydrogen-energy,"Chemical, Energy, Renewable Energy","Nanjing, Jiangsu, China, Asia",Angel Round - Qingde Hydrogen Energy,https://www.crunchbase.com/funding_round/qingde-hydrogen-energy-angel--4341e553,1,Xiaomiao Langcheng,Seed,Xiaomiao Langcheng,Angel,1,12000000,CNY,1723667,,,,12000000,CNY,1723667,Yes,,http://www.qingdehydrogen.com,,Seed,,"53,875",
2022-08-16,Sunwoda Electric Vehicle Batter provides electric vehicle battery pack solutions for new energy vehicle companies.,Sunwoda Electric Vehicle Battery,https://www.crunchbase.com/organization/sunwoda-electric-vehicle-battery,"Battery, Electronics, Manufacturing","Shanghai, Shanghai, China, Asia",Series A - Sunwoda Electric Vehicle Battery,https://www.crunchbase.com/funding_round/sunwoda-electric-vehicle-battery-series-a--189aa7f9,9,"Asia Green Fund, Brill Capital, Broad Vision Funds, Co-Stone Venture Capital, Meituan, National Green Development Fund, Shenzhen Capital Group, Source Code Capital, Yingke Capital",Early Stage Venture,"Broad Vision Funds, Co-Stone Venture Capital, Meituan, Shenzhen Capital Group, Source Code Capital, Yingke Capital",Series A,4,8000000000,CNY,1178480938,23000000000,CNY,3388132697,16080000000,CNY,2349097612,Yes,,http://www.sunwoda-evb.com,$1B to $10B,Early Stage Venture,2,"53,910",
2022-12-08,Tiaoyue Intelligent is an AI digital human technology research and development company.,Tiaoyue Intelligent,https://www.crunchbase.com/organization/tiaoyue-intelligent,"3D Technology, Artificial Intelligence (AI), Digital Marketing","Changyang, Beijing, China, Asia",Angel Round - Tiaoyue Intelligent,https://www.crunchbase.com/funding_round/tiaoyue-intelligent-angel--2ca93617,2,"The Hina Group, ZhenFund",Seed,"The Hina Group, ZhenFund",Angel,1,,,,,,,,,,Yes,,https://www.tiaoyuedaibo.com/,,Seed,,"54,007",
2022-12-30,Raynovent is a science-driven innovative biotech company.,Raynovent,https://www.crunchbase.com/organization/raynovent,Biotechnology,"Guangzhou, Guangdong, China, Asia",Series C - Raynovent,https://www.crunchbase.com/funding_round/raynovent-series-c--bd54f855,6,"EFung Capital, Eide Fund, Guangdong Zhongsheng Pharmaceutical, Guangzhou Guoju Venture Capital, Lake Bleu Capital, Wanlian Guangsheng",Late Stage Venture,"EFung Capital, Eide Fund",Series C,4,370000000,CNY,53636403,,,,132254442,USD,132254442,Yes,,https://www.raynovent.com/,,Late Stage Venture,4,"54,534",
2022-10-09,Liansu Technology is a software company that develops graphics rendering GPUs.,Lisuan Technology,https://www.crunchbase.com/organization/lianshu-technology,"GPU, Metaverse, Semiconductor","Nanjing, Jiangsu, China, Asia",Seed Round - Lisuan Technology,https://www.crunchbase.com/funding_round/lianshu-technology-seed--0875a227,3,"Delta Capital, Ondine Capital, Shenzhen Juntong Capital Investment Management",Seed,"Delta Capital, Ondine Capital, Shenzhen Juntong Capital Investment Management",Seed,2,100000000,CNY,14052839,,,,200000000,CNY,29891161,Yes,,http://www.lisuantech.cn/,,Seed,,"54,564",
2022-11-17,"Remaster provides customers with test and measurement equipment, performance testing, and measurement solutions.",Remaster,https://www.crunchbase.com/organization/remaster,"Communications Infrastructure, Internet of Things","Haidian, Beijing, China, Asia",Series A - Remaster,https://www.crunchbase.com/funding_round/remaster-series-a--512deaf2,3,"Cowin Capital, Ruixin Capital, Xinchao Group",Early Stage Venture,"Cowin Capital, Xinchao Group",Series A,1,,,,,,,,,,Yes,,http://www.radiomaster.cn,,Early Stage Venture,,"54,783",
2022-12-30,Sany Heavy Truck is a truck manufacturer company.,Sany Heavy Truck,https://www.crunchbase.com/organization/sany-heavy-truck,Manufacturing,"Changshan, Hunan, China, Asia",Series A - Sany Heavy Truck,https://www.crunchbase.com/funding_round/sany-heavy-truck-series-a--f39a9bbe,5,"China Merchants Venture Capital, CMG-SDIC Capital Management, Hidden Hill Capital, Huaxu Investment, Yinshan Capital",Early Stage Venture,"China Merchants Venture Capital, CMG-SDIC Capital Management, Hidden Hill Capital",Series A,1,1000000000,CNY,144963252,,,,1000000000,CNY,144963252,Yes,,,,Early Stage Venture,,"55,154",
2022-08-01,Yaotang Bio is a biotechnology company focusing on combining LNP delivery and gene editing technology.,Yaotang Biology,https://www.crunchbase.com/organization/yaotang-biology,"Biopharma, Biotechnology","Minhang, Shanghai, China, Asia",Series A - Yaotang Biology,https://www.crunchbase.com/funding_round/yaotang-biology-series-a--533dcc7e,7,"Beijing Huafang Investment, Decheng Capital, Grand Flight Investment, Guangzhou Industrial Investment Group, K2VC, UnityVC, Yinglian Health Fund",Early Stage Venture,"Beijing Huafang Investment, Decheng Capital, Grand Flight Investment",Series A,3,100000000,CNY,14773667,,,,200000000,CNY,28887196,Yes,,https://www.yoltx.com/,,Early Stage Venture,2,"55,416",
2022-10-20,Bosheng Technology is a manufacturer of konjac products.,Bosheng Se Biotechnology,https://www.crunchbase.com/organization/bosheng-se-biotechnology,"Agriculture, Food Processing, Manufacturing","Ankang, Shaanxi, China, Asia",Angel Round - Bosheng Se Biotechnology,https://www.crunchbase.com/funding_round/bosheng-se-biotechnology-angel--3ac67f0f,1,Zhongda Venture Capital,Seed,,Angel,1,,,,,,,,,,Yes,,,,Seed,,"55,581",
2022-12-20,Weike Bio is a gene therapy drug development company.,Waker Biology,https://www.crunchbase.com/organization/waker-biology,"Biopharma, Biotechnology, Pharmaceutical","Minhang, Shanghai, China, Asia",Angel Round - Waker Biology,https://www.crunchbase.com/funding_round/waker-biology-angel--dda6cc36,1,BGI Co-Win,Seed,BGI Co-Win,Angel,1,,,,,,,,,,Yes,,http://www.wakerbio.com/,,Seed,,"55,806",
2022-08-25,Shuxin Network is a big data service solution provider focusing on cloud data platforms.,Shuxin Network,https://www.crunchbase.com/organization/shuxin-network,"Big Data, Business Intelligence, Cloud Data Services, Software","Hangzhou, Zhejiang, China, Asia",Seed Round - Shuxin Network,https://www.crunchbase.com/funding_round/shuxin-network-seed--ccb85997,2,"Hongfeng Investment Management, Zhonghao Ziben",Seed,,Seed,1,,,,,,,,,,Yes,,https://www.datacreating.com/,,Seed,,"56,442",
2022-10-01,ACE Battery offers clean energy with digital and intelligent solutions and services.,ACE Battery,https://www.crunchbase.com/organization/anshi-new-energy,"Battery, Energy, Energy Management","Shenzhen, Guangdong, China, Asia",Series B - ACE Battery,https://www.crunchbase.com/funding_round/anshi-new-energy-series-b--417e1e42,6,"Asia Green Fund, CLSA Capital Partners, Co-Stone Venture Capital, Oriental Fortune Capital, Qianhai Zhongchuan Equity Investment Fund, Shenzhen Guozhong Venture Capital Management",Early Stage Venture,"CLSA Capital Partners, Shenzhen Guozhong Venture Capital Management",Series B,2,300000000,CNY,42158516,3000000000,CNY,421585160,300000000,CNY,42158516,Yes,,https://www.acebattery.com,$1M to $10M,Early Stage Venture,,"57,500",
2022-08-02,Becoming takes continuous improvement of the oral health of the Chinese people as its own responsibility.,Becoming,https://www.crunchbase.com/organization/becoming,"Health Care, Medical","Shenzhen, Guangdong, China, Asia",Series A - Becoming,https://www.crunchbase.com/funding_round/becoming-series-a--f1a56e11,1,Northern Light Venture Capital,Early Stage Venture,,Series A,1,,,,,,,,,,Yes,,http://www.bcm-dental.cn/,,Early Stage Venture,1,"58,330",
2022-12-22,cloud live platform conducts online and offline events.,Cloud Live,https://www.crunchbase.com/organization/cloud-live,"Event Management, Online Portals, Video Conferencing","Xiamen, Fujian, China, Asia",Private Equity Round - Cloud Live,https://www.crunchbase.com/funding_round/cloud-live-private-equity--3d9dd5ad,1,Meitu,Private Equity,Meitu,Private Equity,1,,,,,,,,,,Yes,,https://www.yun-live.com/,,Private Equity,,"58,323",
2022-09-02,Silicon Innovation is a technology company that provides interconnect chip solutions for the enterprise industry.,Silicon Innovation,https://www.crunchbase.com/organization/silicon-innovation,"Artificial Intelligence (AI), Data Center, Enterprise, Internet of Things, Software","Chengdu, Sichuan, China, Asia",Seed Round - Silicon Innovation,https://www.crunchbase.com/funding_round/silicon-innovation-seed--83094bad,7,"FutureX Capital, Glory Ventures, Highlight Capital, Prosperity Investment, Qianhe Capital, Rising Investments, Star Capital",Seed,"FutureX Capital, Glory Ventures, Highlight Capital, Prosperity Investment",Seed,1,100000000,CNY,14492754,,,,100000000,CNY,14492754,Yes,,https://www.silicon-innovation-cd.com,,Seed,,"58,327",
2022-09-05,Shuhai Supply Chain Logistics is a supply chain service enterprises that provides overall ingredients supply chain solutions services.,Shuhai Supply Chain Logistics,https://www.crunchbase.com/organization/shuhai-supply-chain-logistics,"Catering, Logistics, Supply Chain Management","Minhang, Shanghai, China, Asia",Series B - Shuhai Supply Chain Logistics,https://www.crunchbase.com/funding_round/shuhai-supply-chain-logistics-series-b--eae71854,4,"Bank of China Group Investment, CMK Capital, CR Capital Management, Legend Capital",Early Stage Venture,"Bank of China Group Investment, CMK Capital, CR Capital Management",Series B,3,800000000,CNY,115371858,,,,800000000,CNY,115371858,Yes,,http://www.shuhaisc.com,,Early Stage Venture,2,"58,796",
2022-12-20,Rosenbot provides medical robot technology and uses technological innovation to promote the reform of medical models.,Rosenbot,https://www.crunchbase.com/organization/rosenbot,"Medical, Medical Device, Robotics","Beijing, Beijing, China, Asia",Series B - Rosenbot,https://www.crunchbase.com/funding_round/rosenbot-series-b--fa548395,4,"China Merchants Fund, Shengjing Capital, Shenzhen Capital Group, Zhongguancun Science City Science",Early Stage Venture,"Shenzhen Capital Group, Zhongguancun Science City Science",Series B,3,,,,,,,,,,Yes,,https://www.rossumrobot.cn,Less than $1M,Late Stage Venture,,"58,808",
2022-08-04,Intellective Bio is a CDMO focusing on biopharmaceutical process development and large-scale production.,Intellective Bio,https://www.crunchbase.com/organization/intellective-bio,"Biopharma, Biotechnology, Medical, Pharmaceutical","Suzhou, Jiangsu, China, Asia",Series C - Intellective Bio,https://www.crunchbase.com/funding_round/intellective-bio-series-c--1dfaceb5,6,"CNCB Capital, CTS Capital, Founder Securities, Fuho Capital, Gaorong Capital, Win Harbor Capital",Late Stage Venture,"CTS Capital, Gaorong Capital",Series C,1,500000000,CNY,74081757,,,,500000000,CNY,74081757,Yes,,http://www.intellectivebio.com,$50M to $100M,Late Stage Venture,,"59,091",
2022-12-12,PINPHON is an industrial and commercial energy storage equipment research and development and energy storage system solution provider.,PINPHON,https://www.crunchbase.com/organization/pinphon,"Energy, Energy Management, Manufacturing","Xiangcheng, Henan, China, Asia",Angel Round - PINPHON,https://www.crunchbase.com/funding_round/pinphon-angel--e231a9e2,2,"Plum Ventures, Yuanhe Capital",Seed,Plum Ventures,Angel,1,,,,,,,,,,Yes,,https://pinphon.com/#/login,,Seed,1,"59,079",
2022-11-29,X-EPIC is a Nanjing city-based startup aimed at building up China’s own EDA (Electronic Design Automation) industrial software technology.,X-EPIC,https://www.crunchbase.com/organization/x-epic,"Electronics, Semiconductor, Software","Nanjing, Jiangsu, China, Asia",Series B - X-EPIC,https://www.crunchbase.com/funding_round/x-epic-series-b--ae13aa84,6,"China Electronics Corporation, China Electronics Optics Valley Union Holding, Henglu Assets, Mirae Asset, Small is Big Investment Management, Zhongdianzhongjin (Xiamen) Intelligent Industry Equity Investment Fund",Early Stage Venture,"China Electronics Corporation, China Electronics Optics Valley Union Holding, Zhongdianzhongjin (Xiamen) Intelligent Industry Equity Investment Fund",Series B,5,,,,,,,700000000,CNY,107492618,Yes,,https://www.x-epic.cn/,$50M to $100M,Early Stage Venture,,"59,482",
2022-12-02,Shending Technology provides hardware platforms and software solutions.,Shending Technology,https://www.crunchbase.com/organization/shending-technology,"Information Technology, Internet, Semiconductor","Nanjing, Jiangsu, China, Asia",Venture Round - Shending Technology,https://www.crunchbase.com/funding_round/shending-technology-series-unknown--0dc47681,2,"ASR Microelectronics, Bondshine Capital",,ASR Microelectronics,Venture - Series Unknown,2,90,CNY,13,,,,90,CNY,13,Yes,,http://www.vicoretek.com/,,,,"59,615",
2022-12-13,Tangyou Baobao is a staple food research brand for sugar friends.,Tangyou Baobao,https://www.crunchbase.com/organization/tangyou-baobao,Food and Beverage,"Hangzhou, Zhejiang, China, Asia",Series A - Tangyou Baobao,https://www.crunchbase.com/funding_round/tangyou-baobao-series-a--04666ebc,1,Xingtuo Capital,Early Stage Venture,Xingtuo Capital,Series A,1,,,,,,,,,,Yes,,http://www.tangyoubaobao.com/,,Early Stage Venture,,"59,760",
2022-12-29,HUAUN is an atomic security capability platform that provides iterative security capabilities.,HUAUN,https://www.crunchbase.com/organization/huaun,"Cyber Security, Security","Haidian, Beijing, China, Asia",Series B - HUAUN,https://www.crunchbase.com/funding_round/huaun-series-b--8ee680d8,3,"Beijing High-tech Industry Development Fund, Lingfeng Capital, Yi Capital",Early Stage Venture,Yi Capital,Series B,2,,,,,,,100000000,CNY,15384852,Yes,,https://www.huaun.com/,,Early Stage Venture,2,"59,788",
2022-11-21,Vivest engages in R&D of emergency medical equipment.,Vivest,https://www.crunchbase.com/organization/vivest-719d,Health Care,"Suzhou, Jiangsu, China, Asia",Series B - Vivest,https://www.crunchbase.com/funding_round/vivest-719d-series-b--d8ea049f,2,"Dingxin Capital, SDIC Venture Capital",Early Stage Venture,SDIC Venture Capital,Series B,2,,,,,,,,,,Yes,,http://www.vivestnet.cn/,,Early Stage Venture,,"59,891",
2022-09-08,Intelmo is a high-tech enterprise engaged in automotive technology testing and product development.,ITImotor,https://www.crunchbase.com/organization/itimotor,"Automotive, Consulting, Machinery Manufacturing, Manufacturing, Test and Measurement","Suzhou, Jiangsu, China, Asia",Series C - ITImotor,https://www.crunchbase.com/funding_round/itimotor-series-c--3177ec49,5,"Blue Lake Capital, Eastern Bell Capital, Hengxu Capital, Oriza Holdings, Suzhou Fund",Late Stage Venture,Eastern Bell Capital,Series C,1,,,,,,,,,,Yes,,http://www.itimotor.com/,,Late Stage Venture,,"59,935",
2022-10-11,TaiXin Semiconductor is a high-tech enterprise focusing on chip design in the AIoT field.,TaiXin Semiconductor,https://www.crunchbase.com/organization/taixin-semiconductor,"Hardware, Semiconductor","Zhuhai, Guangdong, China, Asia",Series B - TaiXin Semiconductor,https://www.crunchbase.com/funding_round/taixin-semiconductor-series-b--7653e067,2,"F&G Venture, Hengqin Financial Investment",Early Stage Venture,"F&G Venture, Hengqin Financial Investment",Series B,1,100000000,CNY,13955955,,,,100000000,CNY,13955955,Yes,,https://www.taixin-semi.com,,Early Stage Venture,,"59,969",
2022-12-09,Yige Cloud is a zero-trust enterprise network security solution provider.,Yige Cloud Technology,https://www.crunchbase.com/organization/yige-cloud-technology,"Cloud Computing, Cloud Data Services, Cloud Security, Cyber Security, Information Technology, IT Management, Security","Hangzhou, Zhejiang, China, Asia",Series A - Yige Cloud Technology,https://www.crunchbase.com/funding_round/yige-cloud-technology-series-a--0efcec63,2,"Eminence Ventures, Future Innovation Fund",Early Stage Venture,Eminence Ventures,Series A,4,,,,,,,290000000,CNY,42216380,Yes,,https://www.eagleyun.com/,,Early Stage Venture,,"60,071",
2022-11-14,Lupeng Pharmaceutical is a biotech company that focuses on the drug discovery and development of novel therapies for cancer treatment.,Lupeng Pharmaceutical,https://www.crunchbase.com/organization/lupeng-pharmaceutical,"Biotechnology, Health Care, Medical, Oncology, Pharmaceutical","Guangzhou, Guangdong, China, Asia",Series A - Lupeng Pharmaceutical,https://www.crunchbase.com/funding_round/lupeng-pharmaceutical-series-a--db976a90,6,"Cathay Capital, FC Capital, Kaitai Capital, Lilly Asia Ventures, Qingchi Capital, Temasek Holdings",Early Stage Venture,"Cathay Capital, Kaitai Capital, Temasek Holdings",Series A,2,35000000,USD,35000000,,,,70000000,USD,70000000,Yes,,http://www.lupengbio.com/,,Early Stage Venture,1,"60,300",
2022-11-23,Neoway Medical focuses on medical CT imaging technology.,Neoway Medical,https://www.crunchbase.com/organization/neoway-medical,"Health Care, Medical, Medical Device","Hefei, Anhui, China, Asia",Series A - Neoway Medical,https://www.crunchbase.com/funding_round/neoway-medical-series-a--fe55bd17,2,"Huaying, Xingtai Capital Management",Early Stage Venture,Xingtai Capital Management,Series A,1,,,,,,,,,,Yes,,https://www.yofomedical.com/,,Early Stage Venture,,"60,436",
2022-12-05,Jiuyao Intelligent is specializing in the field of unmanned transformation of engineering vehicles in the world.,Jiuyao Intelligent,https://www.crunchbase.com/organization/jiuyao-intelligent,"Drones, Logistics","Shunyi, Beijing, China, Asia",Series A - Jiuyao Intelligent,https://www.crunchbase.com/funding_round/jiuyao-intelligent-series-a--8f8d2016,2,"Soaring Capital, Xiangyu Capital",Early Stage Venture,Soaring Capital,Series A,1,90000000,CNY,12927320,,,,90000000,CNY,12927320,Yes,,https://www.navasmart.com,,Early Stage Venture,,"60,592",
2022-09-28,Sono Medical is a biomedical technology company that focuses on the field of cardiovascular diseases.,Shengnuo Medical,https://www.crunchbase.com/organization/shengnuo-medical,"Biotechnology, Medical","Harbin, Heilongjiang, China, Asia",Series A - Shengnuo Medical,https://www.crunchbase.com/funding_round/shengnuo-medical-series-a--d67c629a,1,Long Hill Capital,Early Stage Venture,Long Hill Capital,Series A,2,,,,,,,18000000,CNY,2507802,Yes,,,,Seed,1,"61,204",
2022-12-20,Hezhi Technology is a fidelity and personalized customized e-commerce platform.,Hezhi Technology,https://www.crunchbase.com/organization/hezhi-technology,"Apps, E-Commerce, Retail","Nanshan, Hunan, China, Asia",Private Equity Round - Hezhi Technology,https://www.crunchbase.com/funding_round/hezhi-technology-private-equity--f424f84b,1,Shenzhen Jinjia Group,Private Equity,Shenzhen Jinjia Group,Private Equity,1,,,,,,,,,,Yes,,http://www.hezhiiot.com/,,Private Equity,,"61,383",
2022-12-02,Yueguang Smart is a technology company that develops and produces photon pickup and 4D coherent Doppler lidar.,Yueguang Smart,https://www.crunchbase.com/organization/yueguang-smart,"Laser, Manufacturing, Sensor","Hangzhou, Zhejiang, China, Asia",Seed Round - Yueguang Smart,https://www.crunchbase.com/funding_round/yueguang-smart-seed--8c9b5dd5,1,Zhejiang Venture Capital,Seed,Zhejiang Venture Capital,Seed,1,,,,,,,,,,Yes,,https://www.yegrand.com/,,Seed,,"61,492",
2022-12-30,Senyun Intelligent is a provider of imaging products for autonomous driving.,Senyun Intelligent,https://www.crunchbase.com/organization/senyun-intelligent,"Autonomous Vehicles, Car Sharing, Electric Vehicle","Shenzhen, Guangdong, China, Asia",Series A - Senyun Intelligent,https://www.crunchbase.com/funding_round/senyun-intelligent-series-a--4c566d46,2,"Blue Lake Capital, Richen Capital",Early Stage Venture,"Blue Lake Capital, Richen Capital",Series A,1,90000000,CNY,13046693,,,,90000000,CNY,13046693,Yes,,https://www.sensing-world.com/,,Early Stage Venture,,"61,517",
